cod_produto,cod_categoria,ean,plu,nome_produto,setor_gerenciado,setor_produto,sub_categoria,segmento,sub_segmento,fabricante,fabricante_varejista,marca,marca_verejista,marca_res,marca_detalhada,atributo,embalagem,unid_medida,tamanho_unidade,tamanho_total,tamanho_range,se_oferta,qtd_itens,dcr_oferta,desc_a,subst x culinario,desc_c,desc_d,desc_e,desc_f,desc_g,desc_h
153,1,153,,ADOÇANTE LINEA STEVIA LIQUIDO 30ML x1 REGULAR,GERENCIADO,STEVIA,NATURAL,LIQUIDO,LIQUIDO,LINEA,LINEA,LINEA,LINEA,LINEA,LINEA,LIQUIDO,,ML,30.0,30.0,ATE 80,REGULAR,1.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST LQD 30 ML N PRMC LINEA
154,1,154,,ADOÇANTE LINEA SUCRALOSE LIQUIDO 100ML x1 REGULAR,GERENCIADO,SUCRALOSE,ARTIFICIAL,LIQUIDO,LIQUIDO,LINEA,LINEA,LINEA,LINEA,LINEA,LINEA,LIQUIDO,,ML,100.0,100.0,81 A 100,REGULAR,1.0,,,SUCRALOSE,,,,,,SCRLS (SCRN/CCL/SCR) LQD 100 ML N PRMC LINEA
155,1,155,,ADOÇANTE LINEA ERITRITOL LIQUIDO 25ML x1 REGULAR,GERENCIADO,ERITRITOL,NATURAL,LIQUIDO,LIQUIDO,LINEA,LINEA,LINEA,LINEA,LINEA,LINEA,LIQUIDO,,ML,25.0,25.0,ATE 80,REGULAR,1.0,,,ERITRITOL,,,,,,S/CCR(S/SCRS) ERTRTL LQD 25 ML N PRMC LINEA
156,1,156,,"ADOÇANTE LINEA STEVIA PO 0,6G x500 REGULAR",GERENCIADO,STEVIA,NATURAL,PO,PO,LINEA,LINEA,LINEA,LINEA,LINEA,LINEA,SACHE,,G,0.6,300.0,101 ACIMA,REGULAR,500.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST P 500 ENV N PRMC LINEA
157,1,157,,"ADOÇANTE LINEA STEVIA PO 0,06G x100 REGULAR",GERENCIADO,STEVIA,NATURAL,PO,PO,LINEA,LINEA,LINEA,LINEA,LINEA,LINEA,SACHE,,G,0.06,6.0,ATE 80,REGULAR,100.0,,,STEVIA,,,,,,(SCRN/CCL/SCR/ST CMPRMD 100 CMPR N PRMC LINEA
158,1,158,,"ADOÇANTE LINEA SUCRALOSE PO 0,8G x1000 REGULAR",GERENCIADO,SUCRALOSE,ARTIFICIAL,PO,PO,LINEA,LINEA,LINEA,LINEA,LINEA,LINEA,SACHE,,G,0.8,800.0,101 ACIMA,REGULAR,1000.0,,,SUCRALOSE,,,,,,SCRLS (SCRN/CCL/SCR) P 1000 ENV N PRMC LINEA
159,1,159,,"ADOÇANTE LINEA SUCRALOSE PO 0,8G x200 REGULAR",GERENCIADO,SUCRALOSE,ARTIFICIAL,PO,PO,LINEA,LINEA,LINEA,LINEA,LINEA,LINEA,SACHE,,G,0.8,160.0,101 ACIMA,REGULAR,200.0,,,SUCRALOSE,,,,,,SCRLS (SCRN/CCL/SCR) P 200 ENV N PRMC LINEA
160,1,160,,"ADOÇANTE LINEA SUCRALOSE CULINARIO 0,8G x70 LMPM",GERENCIADO,SUCRALOSE,ARTIFICIAL,PO,CULINARIO,LINEA,LINEA,LINEA,LINEA,LINEA,LINEA,CULINARIO,,G,0.8,56.0,ATE 80,PROMOCAO,70.0,,,CULINARIO,,,,,,SCRLS (SCRN/CCL/SCR) P 70 G PRMC LINEA
161,1,161,,"ADOÇANTE LINEA SUCRALOSE PO 0,8G x50 LMPM",GERENCIADO,SUCRALOSE,ARTIFICIAL,PO,PO,LINEA,LINEA,LINEA,LINEA,LINEA,LINEA,SACHE,,G,0.8,40.0,ATE 80,PROMOCAO,50.0,,,SUCRALOSE,,,,,,SCRLS (SCRN/CCL/SCR) P 50 ENV PRMC LINEA
162,1,162,,ADOÇANTE LOWCUCAR STEVIA LIQUIDO 25ML x1 REGULAR,GERENCIADO,STEVIA,NATURAL,LIQUIDO,LIQUIDO,LIGHTSWEET,OUTRO FAB,LOWCUCAR,OUTRAS MARCAS,OUTRAS MARCAS,LOWCUCAR,LIQUIDO,,ML,25.0,25.0,ATE 80,REGULAR,1.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST LQD 25 ML N PRMC LOWCUCAR
163,1,163,,ADOÇANTE LOWCUCAR SOSTEVIA STEVIA LIQUIDO 100ML x1 REGULAR,GERENCIADO,STEVIA,NATURAL,LIQUIDO,LIQUIDO,LIGHTSWEET,OUTRO FAB,LOWCUCAR,OUTRAS MARCAS,OUTRAS MARCAS,LOWCUCAR,LIQUIDO,,ML,100.0,100.0,81 A 100,REGULAR,1.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST LQD 100 ML N PRMC LOWCUCAR
164,1,164,,ADOÇANTE LOWCUCAR SUCRALOSE LIQUIDO 100ML x1 LMPM,GERENCIADO,SUCRALOSE,ARTIFICIAL,LIQUIDO,LIQUIDO,LIGHTSWEET,OUTRO FAB,LOWCUCAR,OUTRAS MARCAS,OUTRAS MARCAS,LOWCUCAR,LIQUIDO,,ML,100.0,100.0,81 A 100,PROMOCAO,1.0,,,SUCRALOSE,,,,,,SCRLS (SCRN/CCL/SCR) LQD 100 ML PRMC LOWCUCAR
165,1,165,,ADOÇANTE LOWCUCAR ASPARTAME PO 200G x1 REGULAR,GERENCIADO,ASPARTAME,ARTIFICIAL,PO,PO,LIGHTSWEET,OUTRO FAB,LOWCUCAR,OUTRAS MARCAS,OUTRAS MARCAS,LOWCUCAR,BAG,,G,200.0,200.0,101 ACIMA,REGULAR,1.0,,,ASPARTAME,,,,,,ASPRTM (SCRN/CCL/SP) P 200 G N PRMC LOWCUCAR
166,1,166,,"ADOÇANTE LOWCUCAR ASPARTAME PO 0,6G x50 REGULAR",GERENCIADO,ASPARTAME,ARTIFICIAL,PO,PO,LIGHTSWEET,OUTRO FAB,LOWCUCAR,OUTRAS MARCAS,OUTRAS MARCAS,LOWCUCAR,SACHE,,G,0.6,30.0,ATE 80,REGULAR,50.0,,,ASPARTAME,,,,,,ASPRTM (SCRN/CCL/SP) P 50 ENV N PRMC LOWCUCAR
167,1,167,,ADOÇANTE LOWCUCAR CULINARIA SACARINA PO 400G x1 REGULAR,GERENCIADO,SACARINA,ARTIFICIAL,PO,PO,LIGHTSWEET,OUTRO FAB,LOWCUCAR,OUTRAS MARCAS,OUTRAS MARCAS,LOWCUCAR,POTE,,G,400.0,400.0,101 ACIMA,REGULAR,1.0,,,SACARINA,,,,,,SCRN (CCL/SC) P 400 G N PRMC LOWCUCAR
169,1,169,,ADOÇANTE LOWCUCAR CULINARIA SACARINA PO 1000G x1 REGULAR,GERENCIADO,SACARINA,ARTIFICIAL,PO,PO,LIGHTSWEET,OUTRO FAB,LOWCUCAR,OUTRAS MARCAS,OUTRAS MARCAS,LOWCUCAR,BAG,,G,1000.0,1000.0,101 ACIMA,REGULAR,1.0,,,SACARINA,,,,,,SCRN (CCL/SC) P 1000 G N PRMC LOWCUCAR
171,1,171,,"ADOÇANTE LOWCUCAR PLUS STEVIA PO 0,8G x50 REGULAR",GERENCIADO,STEVIA,NATURAL,PO,PO,LIGHTSWEET,OUTRO FAB,LOWCUCAR,OUTRAS MARCAS,OUTRAS MARCAS,LOWCUCAR,SACHE,,G,0.8,40.0,ATE 80,REGULAR,50.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST P 40 G N PRMC LOWCUCAR
172,1,172,,ADOÇANTE LOWCUCAR PLUS STEVIA PO 250G x1 REGULAR,GERENCIADO,STEVIA,NATURAL,PO,PO,LIGHTSWEET,OUTRO FAB,LOWCUCAR,OUTRAS MARCAS,OUTRAS MARCAS,LOWCUCAR,SACHE,,G,250.0,250.0,101 ACIMA,REGULAR,1.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST P 250 G N PRMC LOWCUCAR
173,1,173,,ADOÇANTE LOWCUCAR SUCRALOSE CULINARIO 95G x1 REGULAR,GERENCIADO,SUCRALOSE,ARTIFICIAL,PO,CULINARIO,LIGHTSWEET,OUTRO FAB,LOWCUCAR,OUTRAS MARCAS,OUTRAS MARCAS,LOWCUCAR,CULINARIO,,G,95.0,95.0,81 A 100,REGULAR,1.0,,,CULINARIO,,,,,,SCRLS (SCRN/CCL/SCR) P 95 G N PRMC LOWCUCAR
180,1,180,,ADOÇANTE STEVITA STEVIA LIQUIDO 30ML x3 LMPM,GERENCIADO,STEVIA,NATURAL,LIQUIDO,LIQUIDO,STEVIA SOUL,OUTRO FAB,STEVITA,OUTRAS MARCAS,OUTRAS MARCAS,STEVITA,LIQUIDO,,ML,30.0,190.0,101 ACIMA,PROMOCAO,3.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST LQD 30 G PRMC STEVITA
181,1,181,,ADOÇANTE STEVITA STEVIA LIQUIDO 80ML x2 LMPM,GERENCIADO,STEVIA,NATURAL,LIQUIDO,LIQUIDO,STEVIA SOUL,OUTRO FAB,STEVITA,OUTRAS MARCAS,OUTRAS MARCAS,STEVITA,LIQUIDO,,ML,80.0,160.0,101 ACIMA,PROMOCAO,2.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST LQD 80 ML PRMC STEVITA
182,1,182,,ADOÇANTE STEVITA STEVIA LIQUIDO 100ML x1 REGULAR,GERENCIADO,STEVIA,NATURAL,LIQUIDO,LIQUIDO,STEVIA SOUL,OUTRO FAB,STEVITA,OUTRAS MARCAS,OUTRAS MARCAS,STEVITA,LIQUIDO,,ML,100.0,100.0,81 A 100,REGULAR,1.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST LQD 100 ML N PRMC STEVITA
183,1,183,,ADOÇANTE STEVITA STEVIA LIQUIDO 40ML x1 REGULAR,GERENCIADO,STEVIA,NATURAL,LIQUIDO,LIQUIDO,STEVIA SOUL,OUTRO FAB,STEVITA,OUTRAS MARCAS,OUTRAS MARCAS,STEVITA,LIQUIDO,,ML,40.0,40.0,ATE 80,REGULAR,1.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST LQD 40 ML N PRMC STEVITA
184,1,184,,"ADOÇANTE STEVITA STEVIA PO 0,45G x100 REGULAR",GERENCIADO,STEVIA,NATURAL,PO,PO,STEVIA SOUL,OUTRO FAB,STEVITA,OUTRAS MARCAS,OUTRAS MARCAS,STEVITA,SACHE,,G,0.45,45.0,ATE 80,REGULAR,100.0,,,STEVIA,,,,,,(SCRN/CCL/SCR/ST CMPRMD 100 CMPR N PRMC STEVITA
185,1,185,,ADOÇANTE STEVITA STEVIA PO 120G x1 REGULAR,GERENCIADO,STEVIA,NATURAL,PO,PO,STEVIA SOUL,OUTRO FAB,STEVITA,OUTRAS MARCAS,OUTRAS MARCAS,STEVITA,POTE,,G,120.0,120.0,101 ACIMA,REGULAR,1.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST P 120 G N PRMC STEVITA
186,1,186,,"ADOÇANTE STEVITA SUCRALOSE PO 0,6G x50 REGULAR",GERENCIADO,SUCRALOSE,ARTIFICIAL,PO,PO,STEVIA SOUL,OUTRO FAB,STEVITA,OUTRAS MARCAS,OUTRAS MARCAS,STEVITA,SACHE,,G,0.6,30.0,ATE 80,REGULAR,50.0,,,SUCRALOSE,,,,,,SCRLS (SCRN/CCL/SCR) P 50 ENV N PRMC STEVITA
187,1,187,,ADOÇANTE TAL E QUAL FORNO E FOGAO SACARINA CULINARIO 100G x1 REGULAR,GERENCIADO,SACARINA,ARTIFICIAL,PO,CULINARIO,WOW NUTRITION,OUTRO FAB,TAL E QUAL,OUTRAS MARCAS,OUTRAS MARCAS,TAL E QUAL,CULINARIO,,G,100.0,100.0,81 A 100,REGULAR,1.0,,,CULINARIO,,,,,,SCRN (CCL/SC) P 100 G N PRMC TAL E QUAL
188,1,188,,ADOÇANTE TAL E QUAL FORNO E FOGAO SACARINA CULINARIO 120G x1 REGULAR,GERENCIADO,SACARINA,ARTIFICIAL,PO,CULINARIO,WOW NUTRITION,OUTRO FAB,TAL E QUAL,OUTRAS MARCAS,OUTRAS MARCAS,TAL E QUAL,CULINARIO,,G,120.0,120.0,101 ACIMA,REGULAR,1.0,,,CULINARIO,,,,,,SCRN (CCL/SC) P 120 G N PRMC TAL E QUAL
190,1,190,,ADOÇANTE OUTRAS MARCAS STEVIA PO 200G x1 REGULAR,GERENCIADO,STEVIA,NATURAL,PO,PO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,POTE,,G,200.0,200.0,101 ACIMA,REGULAR,1.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST P 200 G N PRMC OUTRA MARCA
191,1,191,,ADOÇANTE OUTRAS MARCAS STEVIA PO 500G x0 REGULAR,GERENCIADO,STEVIA,NATURAL,PO,PO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,POTE,,G,500.0,500.0,101 ACIMA,REGULAR,0.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST P 500 G N PRMC OUTRA MARCA
192,1,192,,ADOÇANTE OUTRAS MARCAS XILITOL LIQUIDO 100ML x1 REGULAR,GERENCIADO,XILITOL,NATURAL,LIQUIDO,LIQUIDO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,LIQUIDO,,ML,100.0,100.0,81 A 100,REGULAR,1.0,,,XILITOL,,,,,,XLTL/ XLTL (STV/(XL LQD 100 ML N PRMC OUTRA MARCA
193,1,193,,ADOÇANTE DOCE MENOR SACARINA LIQUIDO 25ML x1 REGULAR,GERENCIADO,SACARINA,ARTIFICIAL,LIQUIDO,LIQUIDO,WOW NUTRITION,OUTRO FAB,DOCE MENOR,OUTRAS MARCAS,OUTRAS MARCAS,DOCE MENOR,LIQUIDO,,ML,25.0,25.0,ATE 80,REGULAR,1.0,,,SACARINA,,,,,,SCRN (CCL/SC) LQD 25 ML N PRMC DOCE MENOR
194,1,194,,ADOÇANTE OUTRAS MARCAS SACARINA PO 150G x1 REGULAR,GERENCIADO,SACARINA,ARTIFICIAL,PO,PO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,POTE,,G,150.0,150.0,101 ACIMA,REGULAR,1.0,,,SACARINA,,,,,,SCRN (CCL/SC) P 150 G N PRMC OUTRA MARCA
195,1,195,,ADOÇANTE OUTRAS MARCAS SUCRALOSE PO -G x1000 REGULAR,GERENCIADO,SUCRALOSE,ARTIFICIAL,PO,PO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,SACHE,,G,0.0,0.0,ATE 80,REGULAR,1000.0,,,SUCRALOSE,,,,,,SCRLS (SCRN/CCL/SCR) P 1000 ENV N PRMC OUTRA MARCA
196,1,196,,ADOÇANTE OUTRAS MARCAS SUCRALOSE PO -G x50 REGULAR,GERENCIADO,SUCRALOSE,ARTIFICIAL,PO,PO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,SACHE,,G,0.0,0.0,ATE 80,REGULAR,50.0,,,SUCRALOSE,,,,,,SCRLS (SCRN/CCL/SCR) P 50 ENV N PRMC NAO IDENTIFICADO
197,1,197,,ADOÇANTE OUTRAS MARCAS SUCRALOSE LIQUIDO 80ML x1 REGULAR,GERENCIADO,SUCRALOSE,ARTIFICIAL,LIQUIDO,LIQUIDO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,LIQUIDO,,ML,80.0,80.0,ATE 80,REGULAR,1.0,,,SUCRALOSE,,,,,,SCRLS (SCRN/CCL/SCR) LQD 80 ML N PRMC NAO IDENTIFICADO
198,1,198,,ADOÇANTE OUTRAS MARCAS OUTRAS SUBST PO 200G x1 REGULAR,GERENCIADO,OUTRAS SUBST,ARTIFICIAL,PO,PO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,POTE,,G,200.0,200.0,101 ACIMA,REGULAR,1.0,,,OUTRAS SUBST,,,,,,FRTS (SCRN/CCL/FRT) P 200 G N PRMC OUTRA MARCA
199,1,199,,ADOÇANTE FINN STEVIA PO G x50 REGULAR,GERENCIADO,STEVIA,NATURAL,PO,PO,HYPERA,HYPERA,FINN,FINN,FINN,FINN,SACHE,,G,0.0,0.0,ATE 80,REGULAR,50.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST P 50 ENV N PRMC FINN
200,2,200,,ACUCAR FIT MID SUGAR AÇUCAR FIT  3 G x30 REGULAR,NAO GERENCIADO,AÇUCAR FIT,AÇUCAR FIT,AÇUCAR FIT,AÇUCAR FIT,AJINOMOTO,OUTRO FAB,MID SUGAR,OUTRAS MARCAS,MID SUGAR,MID SUGAR,AÇUCAR FIT,,G,3.0,90.0,81 A 100,REGULAR,30.0,,,AÇUCAR FIT,,,,,,ASPRTM (SCRN/CCL/SP) P 90 G N PRMC MID SUGAR
201,2,201,,ACUCAR FIT MID SUGAR AÇUCAR FIT  3 G x50 REGULAR,NAO GERENCIADO,AÇUCAR FIT,AÇUCAR FIT,AÇUCAR FIT,AÇUCAR FIT,AJINOMOTO,OUTRO FAB,MID SUGAR,OUTRAS MARCAS,MID SUGAR,MID SUGAR,AÇUCAR FIT,,G,3.0,150.0,101 ACIMA,REGULAR,50.0,,,AÇUCAR FIT,,,,,,ASPRTM (SCRN/CCL/SP) P 150 G N PRMC MID SUGAR
202,2,202,,"ACUCAR FIT UNIAO AÇUCAR FIT  2,5 G x30 REGULAR",NAO GERENCIADO,AÇUCAR FIT,AÇUCAR FIT,AÇUCAR FIT,AÇUCAR FIT,CAMIL,OUTRO FAB,UNIAO,OUTRAS MARCAS,OUTRAS MARCAS,UNIAO,AÇUCAR FIT,,G,2.5,75.0,ATE 80,REGULAR,30.0,,,AÇUCAR FIT,,,,,,C/CCR(C/SCRS) OTR TP P 30 ENV N PRMC UNIAO FIT
203,2,203,,ACUCAR FIT UNIAO AÇUCAR FIT  500 G x1 REGULAR,NAO GERENCIADO,AÇUCAR FIT,AÇUCAR FIT,AÇUCAR FIT,AÇUCAR FIT,CAMIL,OUTRO FAB,UNIAO,OUTRAS MARCAS,OUTRAS MARCAS,UNIAO,AÇUCAR FIT,,G,500.0,500.0,101 ACIMA,REGULAR,1.0,,,AÇUCAR FIT,,,,,,C/CCR(C/SCRS) OTR TP P 500 G N PRMC UNIAO FIT
204,2,204,,"ACUCAR FIT UNIAO AÇUCAR FIT  0,6 G x400 REGULAR",NAO GERENCIADO,AÇUCAR FIT,AÇUCAR FIT,AÇUCAR FIT,AÇUCAR FIT,CAMIL,OUTRO FAB,UNIAO,OUTRAS MARCAS,OUTRAS MARCAS,UNIAO,AÇUCAR FIT,,G,0.6,240.0,101 ACIMA,REGULAR,400.0,,,AÇUCAR FIT,,,,,,SCRLS (SCRN/CCL/SCR) P 400 ENV N PRMC UNIAO FIT
205,2,205,,ACUCAR FIT UNIAO AÇUCAR FIT  1000 G x1 REGULAR,NAO GERENCIADO,AÇUCAR FIT,AÇUCAR FIT,AÇUCAR FIT,AÇUCAR FIT,CAMIL,OUTRO FAB,UNIAO,OUTRAS MARCAS,OUTRAS MARCAS,UNIAO,AÇUCAR FIT,,G,1000.0,1000.0,101 ACIMA,REGULAR,1.0,,,AÇUCAR FIT,,,,,,SCRLS (SCRN/CCL/SCR) P 1000 G N PRMC UNIAO FIT
206,2,206,,ACUCAR FIT SUGAR LIGHT AÇUCAR FIT  500 G x1 REGULAR,NAO GERENCIADO,AÇUCAR FIT,AÇUCAR FIT,AÇUCAR FIT,AÇUCAR FIT,GOLD NUTRITION,OUTRO FAB,SUGAR LIGHT,OUTRAS MARCAS,SUGAR LIGHT,SUGAR LIGHT,AÇUCAR FIT,,G,500.0,500.0,101 ACIMA,REGULAR,1.0,,,AÇUCAR FIT,,,,,,SCRN (CCL/SC) P 500 G N PRMC SUGAR LIGHT
207,2,207,,ACUCAR FIT MAGRO AÇUCAR FIT  500 G x1 REGULAR,NAO GERENCIADO,AÇUCAR FIT,AÇUCAR FIT,AÇUCAR FIT,AÇUCAR FIT,LIGHTSWEET,OUTRO FAB,MAGRO,OUTRAS MARCAS,OUTRAS MARCAS,MAGRO,AÇUCAR FIT,,G,500.0,500.0,101 ACIMA,REGULAR,1.0,,,AÇUCAR FIT,,,,,,SCRN (CCL/SC) P 500 G N PRMC MAGRO PLAN
208,2,208,,ACUCAR FIT MAGRO AÇUCAR FIT  500 G x1 PROMOCAO,NAO GERENCIADO,AÇUCAR FIT,AÇUCAR FIT,AÇUCAR FIT,AÇUCAR FIT,LIGHTSWEET,OUTRO FAB,MAGRO,OUTRAS MARCAS,OUTRAS MARCAS,MAGRO,AÇUCAR FIT,,G,500.0,500.0,101 ACIMA,PROMOCAO,1.0,,,AÇUCAR FIT,,,,,,C/CCR(C/SCRS) SCRN (CCL/SC) P 500 G PRMC MAGRO PLAN
209,2,209,,ACUCAR FIT MAGRO AÇUCAR FIT  600 G x1 PROMOCAO,NAO GERENCIADO,AÇUCAR FIT,AÇUCAR FIT,AÇUCAR FIT,AÇUCAR FIT,LIGHTSWEET,OUTRO FAB,MAGRO,OUTRAS MARCAS,OUTRAS MARCAS,MAGRO,AÇUCAR FIT,,G,600.0,600.0,101 ACIMA,PROMOCAO,1.0,,,AÇUCAR FIT,,,,,,C/CCR(C/SCRS) SCRN (CCL/SC) P 600 G PRMC MAGRO PLAN
210,1,210,,ADOCANTE LOWCUCAR STEVIA  100 ML xx PROMOCAO,GERENCIADO,STEVIA,NATURAL,LIQUIDO,LIQUIDO,LIGHTSWEET,OUTRO FAB,LOWCUCAR,OUTRAS MARCAS,OUTRAS MARCAS,LOWCUCAR,LIQUIDO,,ML,100.0,100.0,81 A 100,PROMOCAO,0.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST LQD 100 ML PRMC STEVIA PLUS LOWCUCAR
211,2,211,,ACUCAR FIT OUTRAS MARCAS AÇUCAR FIT  500 G x1 REGULAR,NAO GERENCIADO,AÇUCAR FIT,AÇUCAR FIT,AÇUCAR FIT,AÇUCAR FIT,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,AÇUCAR FIT,,G,500.0,500.0,101 ACIMA,REGULAR,1.0,,,AÇUCAR FIT,,,,,,SCRN (CCL/SC) P 500 G N PRMC OUTRA MARCA
212,1,212,,ADOCANTE OUTRAS MARCAS ERITRITOL  400  x1 REGULAR,GERENCIADO,ERITRITOL,NATURAL,PO,PO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,BAG,,G,400.0,400.0,101 ACIMA,REGULAR,1.0,,,ERITRITOL,,,,,,S/CCR(S/SCRS) ERTRTL P 400 G N PRMC OUTRA MARCA
16546,1,16546,,ADOC.PO ZERO CAL C/50 PT,GERENCIADO,SUCRALOSE,ARTIFICIAL,PO,PO,HYPERA,HYPERA,ZERO CAL,ZERO CAL,ZERO CAL,ZERO CAL,SACHE,,,0.0,0.0,ATE 80,REGULAR,,,,,,,,,,
65734,1,65734,,ADOC.PO UNIAO LIGHT FIT 500G PT,GERENCIADO,SUCRALOSE,ARTIFICIAL,PO,PO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,POTE,,G,500.0,500.0,101 ACIMA,,,,,,,,,,,
84037,1,84037,,ADOC LINEA STEV 30G 50ENV 2UN+50%DESC SEG,GERENCIADO,STEVIA,NATURAL,PO,PO,LINEA,LINEA,LINEA,LINEA,LINEA,LINEA,SACHE,,G,30.0,30.0,ATE 80,PROMOCAO,,,,,,,,,,
150213,1,150213,,ADOC.PO LINEA SUCRALOSE 56G PT,GERENCIADO,SUCRALOSE,ARTIFICIAL,PO,PO,LINEA,LINEA,LINEA,LINEA,LINEA,LINEA,PO,,G,0.0,0.0,ATE 80,,,,,,,,,,,
283508,1,283508,,ADOCANTE SWEET LINEA NAT 25ML,GERENCIADO,ERITRITOL,NATURAL,LIQUIDO,LIQUIDO,LINEA,LINEA,LINEA,LINEA,LINEA,LINEA,LIQUIDO,,,0.0,0.0,ATE 80,,,,,,,,,,,
283509,1,283509,,ADOCANTE SWEET LINEA NAT 60ML,GERENCIADO,ERITRITOL,NATURAL,LIQUIDO,LIQUIDO,LINEA,LINEA,LINEA,LINEA,LINEA,LINEA,LIQUIDO,,,0.0,0.0,ATE 80,,,,,,,,,,,
283510,1,283510,,ADOCANTE SWEET PO LINEA CULINARIO 300G,GERENCIADO,ERITRITOL,NATURAL,PO,CULINARIO,LINEA,LINEA,LINEA,LINEA,LINEA,LINEA,CULINARIO,,G,0.0,0.0,101 ACIMA,,,,,,,,,,,
283826,1,283826,,ADOCANTE XILITOL DACOLONIA 100% 200G,GERENCIADO,XILITOL,NATURAL,PO,PO,OUTRO FAB,OUTRO FAB,DACOLONIA,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,PO,,,0.0,0.0,101 ACIMA,,,,,,,,,,,
285350,1,285350,,ADOC.LIQ.STEVIA MAGRO 100% 60ML FR,GERENCIADO,STEVIA,NATURAL,LIQUIDO,LIQUIDO,LIGHTSWEET,OUTRO FAB,MAGRO,OUTRAS MARCAS,OUTRAS MARCAS,MAGRO,LIQUIDO,,ML,0.0,0.0,ATE 80,,,,,,,,,,,
285355,1,285355,,ADOC.PO LINEA SUCRALOSE 1000X6G,GERENCIADO,SUCRALOSE,ARTIFICIAL,PO,PO,LINEA,LINEA,LINEA,LINEA,LINEA,LINEA,PO,,G,1000.0,1000.0,101 ACIMA,,,,,,,,,,,
490726,1,490726,,ADOC LIQ NEW SWEET 100ML,GERENCIADO,SACARINA,ARTIFICIAL,LIQUIDO,LIQUIDO,HYPERA,HYPERA,ADOCYL,ADOCYL,ADOCYL,ADOCYL,LIQUIDO,,,0.0,0.0,ATE 80,,,,,,,,,,,
1042771,1,1042771,,ADOCANTE MONAMA ERITRITOL PO 200G x1 REGULAR,GERENCIADO,ERITRITOL,NATURAL,PO,PO,ENOVA,OUTRO FAB,MONAMA,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,BAG,,G,200.0,200.0,101 ACIMA,REGULAR,1.0,,TEM EAN ,ERITRITOL,,,,,,
1117693,1,1117693,,ADOC MAGRO SUCRALOSE LIQ 80ML,GERENCIADO,SUCRALOSE,ARTIFICIAL,LIQUIDO,LIQUIDO,LIGHTSWEET,OUTRO FAB,MAGRO,OUTRAS MARCAS,OUTRAS MARCAS,MAGRO,LIQUIDO,,,0.0,0.0,ATE 80,,,,,,,,,,,
1351671,1,1351671,,PACK ADO LINEA STV 30 GRAMA,GERENCIADO,STEVIA,NATURAL,PO,PO,LINEA,LINEA,LINEA,LINEA,LINEA,LINEA,SACHE,0.0,G,30.0,30.0,ATE 80,PROMOCAO,,,,,,,,,,
1361618,1,1361618,,ADOC SPLENDA SUCRALOSE SACH 800MG,GERENCIADO,SUCRALOSE,NATURAL,PO,PO,SPLENDA,OUTRO FAB,SPLENDA,OUTRAS MARCAS,OUTRAS MARCAS,SPLENDA,PO,0.0,G,800.0,800.0,101 ACIMA,REGULAR,,,,,,,,,,
